"","Animal_A.tifdiff_vec2.txt","Animal_B.tiffdiff_vec2.txt","Animal_C.tifdiff_vec2.txt","Animal_D.tifdiff_vec2.txt","Animal_E.tifdiff_vec2.txt","Animal_F.tifdiff_vec2.txt","Animal_G.tifdiff_vec2.txt","Animal_H.tifdiff_vec2.txt","Animal_I.tifdiff_vec2.txt","Animal_J.tifdiff_vec2.txt","Animal_K.tifdiff_vec2.txt","Animal_L.tifdiff_vec2.txt","Animal_M.tifdiff_vec2.txt","Animal_N.tifdiff_vec2.txt","Animal_O.tifdiff_vec2.txt","Animal_P.tiffdiff_vec2.txt","Animal_R.tiffdiff_vec2.txt","Animal_U.tifdiff_vec2.txt","Animal_V.tifdiff_vec2.txt","Animal_W.tifdiff_vec2.txt","Animal_X.tifdiff_vec2.txt","Animal_Y.tifdiff_vec2.txt","Animal_Z.tifdiff_vec2.txt","Animal_Z1.tifdiff_vec2.txt","Animal_Z10.tiffdiff_vec2.txt","Animal_Z2.tifdiff_vec2.txt","Animal_Z4.tifdiff_vec2.txt","Animal_Z6.tiffdiff_vec2.txt","Animal_Z8.tiffdiff_vec2.txt","Animal_Z9.tiffdiff_vec2.txt"
"1",1.97491124360629e-05,2.98120876896407e-05,1.34313220638463e-05,5.60198489376034e-06,4.40559457947066e-06,9.96531247881477e-06,4.65756568306167e-05,2.56182252782433e-05,2.45097100129652e-05,2.16113928429278e-05,9.31737616727022e-06,6.32696066857357e-06,9.74616341161918e-06,7.12741607591421e-06,6.54874832320149e-06,2.52601499320442e-06,1.31206813320344e-05,5.40574229994019e-05,2.87324041715359e-05,3.17486611179735e-05,7.99282657884938e-06,4.5628833976635e-05,1.46182780872404e-05,2.34229778424423e-05,8.91588550652876e-06,1.61997402456547e-05,5.04469606569387e-06,9.78248373920213e-06,3.84774271099118e-05,1.54503497202943e-05
"2",2.31737938451426e-05,3.46708496261599e-05,1.58395142621766e-05,6.76031401230075e-06,5.85358893813155e-06,1.27704869939928e-05,5.56026911310315e-05,3.08192892553217e-05,2.85739729576937e-05,2.6706037479593e-05,1.13990672822296e-05,7.68316335296764e-06,1.2055167806131e-05,8.69649525994655e-06,8.01100137113162e-06,3.04670901278866e-06,1.71530860215286e-05,6.30423391673169e-05,3.44829124986964e-05,3.68351022698558e-05,9.34703972089015e-06,5.28273007178633e-05,1.796126146417e-05,2.85515178003441e-05,1.08197539911187e-05,1.9728241252445e-05,6.02388507592098e-06,1.22118015061172e-05,5.51736905557321e-05,2.07844650869178e-05
"3",2.70671247667691e-05,4.04217213587754e-05,1.85949961358851e-05,8.18965632739428e-06,7.69151223071477e-06,1.62369167560095e-05,6.66611681699438e-05,3.68764593254353e-05,3.32888980674408e-05,3.2783495812536e-05,1.39287042278852e-05,9.34444452970141e-06,1.48185767855675e-05,1.05534514464606e-05,9.74264643057558e-06,3.65377186469219e-06,2.22197129386485e-05,7.32079633078947e-05,4.1439372066198e-05,4.29137475288813e-05,1.08834515704627e-05,6.13919999309598e-05,2.19387926767448e-05,3.47532890596576e-05,1.30555676298285e-05,2.38945369428481e-05,7.15927445784855e-06,1.5217755842149e-05,7.79115733511625e-05,2.77193770567121e-05
"4",3.15026259309895e-05,4.69311635754353e-05,2.17321068252036e-05,9.8930762864584e-06,9.99771055650553e-06,2.04864443618507e-05,7.9520283029695e-05,4.42542389220752e-05,3.86166884744634e-05,4.01786438777291e-05,1.70286866579768e-05,1.12992298256323e-05,1.81042298547156e-05,1.27377739716684e-05,1.17806649560328e-05,4.35739219737113e-06,2.85274906991169e-05,8.46538452474625e-05,4.95301945694107e-05,4.98129122492855e-05,1.26181890832013e-05,7.11123468755123e-05,2.68839767586418e-05,4.20426396293547e-05,1.56657063742982e-05,2.87843212593133e-05,8.46890656313725e-06,1.88363691272858e-05,0.000108391069246493,3.66539420304967e-05
"5",3.68254783323547e-05,5.42643938659641e-05,2.52861371954014e-05,1.18883888712528e-05,1.28595486594751e-05,2.5928916335644e-05,9.43921136524984e-05,5.29180622105884e-05,4.46093484967909e-05,4.91714359610364e-05,2.06975216237899e-05,1.35855251581957e-05,2.19860545951912e-05,1.53032215080051e-05,1.41892697825499e-05,5.1800399105507e-06,3.6703358230135e-05,9.81156665744005e-05,5.88874372990011e-05,5.75795752644411e-05,1.46044090777192e-05,8.20297664861639e-05,3.27334949632084e-05,5.05564205269727e-05,1.88145470195202e-05,3.48711663212912e-05,1.00446564701923e-05,2.31624719757293e-05,0.000148626006888474,4.80626495596594e-05
"6",4.28612115581014e-05,6.26064236982089e-05,2.95395558329567e-05,1.42121895074921e-05,1.6393601448444e-05,3.26001505897105e-05,0.000111500147262667,6.29531903586262e-05,5.14775150958971e-05,5.97882260755679e-05,2.50133331946972e-05,1.62440031316234e-05,2.67232783813003e-05,1.84800795661736e-05,1.7138895350581e-05,6.16220034507702e-06,4.6821369420392e-05,0.000113480696070676,6.96506824759858e-05,6.62819295282726e-05,1.69301675219843e-05,9.42342722080308e-05,3.96075437287336e-05,6.04403703829728e-05,2.25429036657673e-05,4.20350014950857e-05,1.18906413156091e-05,2.82999681395784e-05,0.000200956708614317,6.25045432510119e-05
"7",4.96704654761269e-05,7.24022035903401e-05,3.43684972104291e-05,1.69320648505928e-05,2.08467783920496e-05,4.06803935666385e-05,0.00013176757002883,7.45148747205958e-05,5.94310525586197e-05,7.22399387188975e-05,3.00604729740926e-05,1.93707905396671e-05,3.2404062934723e-05,2.22028815265191e-05,2.05878938098087e-05,7.2907887766364e-06,5.91981671385987e-05,0.000130729462222073,8.23080400961446e-05,7.65368367503488e-05,1.95469430878526e-05,0.00010861391654723,4.76348820631931e-05,7.20334761123379e-05,2.68653558447916e-05,5.0413325607443e-05,1.40149097458929e-05,3.4371214662838e-05,0.000268051887168698,8.1591388258893e-05
"8",5.73958654508734e-05,8.34055109618035e-05,3.98198770196528e-05,2.02397912897721e-05,2.62239887899349e-05,5.03924242132115e-05,0.000155583315400222,8.7804909348778e-05,6.83401364754634e-05,8.67517167096435e-05,3.60420140438849e-05,2.31096467652544e-05,3.90661267933418e-05,2.65412515666431e-05,2.45977734773071e-05,8.5804844150753e-06,7.41999591718851e-05,0.000150008123221704,9.71536697786911e-05,8.80986380262823e-05,2.2478304235939e-05,0.000124771588995324,5.69528242350533e-05,8.58067373381427e-05,3.18491384040898e-05,6.01585748832333e-05,1.64479879328516e-05,4.18523126420673e-05,0.000353234639676827,0.000105866463448407
"9",6.65374599561653e-05,9.57119758935904e-05,4.59466228552415e-05,2.40746542123481e-05,3.26413143778277e-05,6.19799382999612e-05,0.000182852752584257,0.000103757777652311,7.82780412527215e-05,0.000103562866688378,4.32321116679502e-05,2.74219164739676e-05,4.6832880349262e-05,3.15693674578505e-05,2.92340334596177e-05,1.00465418194234e-05,9.22235535757686e-05,0.000172354911187466,0.000114102488499235,0.000101010079866354,2.57810775589834e-05,0.000142775726300913,6.80384469931455e-05,0.000101627285938731,3.75652834794503e-05,7.15820512970399e-05,1.92613236096384e-05,5.06426960996149e-05,0.000463116785165666,0.000136257780451385
"10",7.6819816052608e-05,0.000109567370419232,5.30817152786855e-05,2.84972032208003e-05,4.02127864090034e-05,7.57078174936614e-05,0.000213924754127036,0.000122015341866856,8.94486956873531e-05,0.000123788614299935,5.15776723820716e-05,3.23683713141019e-05,5.58361687728052e-05,3.75108180758608e-05,3.46322901106146e-05,1.17297596764999e-05,0.000113694534416926,0.000197719594401205,0.000133354619496823,0.000115367853668911,2.96297613313156e-05,0.000162752677458896,8.10115496141524e-05,0.000119694122355463,4.4328220075597e-05,8.53828606655236e-05,2.26090770569925e-05,6.09058001428429e-05,0.000598860233962787,0.000173987437957549
