"","Animal_A.tifdiff_vec.txt","Animal_B.tiffdiff_vec.txt","Animal_C.tifdiff_vec.txt","Animal_D.tifdiff_vec.txt","Animal_E.tifdiff_vec.txt","Animal_F.tifdiff_vec.txt","Animal_G.tifdiff_vec.txt","Animal_H.tifdiff_vec.txt","Animal_I.tifdiff_vec.txt","Animal_J.tifdiff_vec.txt","Animal_K.tifdiff_vec.txt","Animal_L.tifdiff_vec.txt","Animal_M.tifdiff_vec.txt","Animal_N.tifdiff_vec.txt","Animal_O.tifdiff_vec.txt","Animal_P.tiffdiff_vec.txt","Animal_R.tiffdiff_vec.txt","Animal_U.tifdiff_vec.txt","Animal_V.tifdiff_vec.txt","Animal_W.tifdiff_vec.txt","Animal_X.tifdiff_vec.txt","Animal_Y.tifdiff_vec.txt","Animal_Z.tifdiff_vec.txt","Animal_Z1.tifdiff_vec.txt","Animal_Z10.tiffdiff_vec.txt","Animal_Z2.tifdiff_vec.txt","Animal_Z4.tifdiff_vec.txt","Animal_Z6.tiffdiff_vec.txt","Animal_Z8.tiffdiff_vec.txt","Animal_Z9.tiffdiff_vec.txt"
"1",6.46845101072466e-06,0.000132437457670609,2.61040142781979e-05,4.26601017151827e-05,1.95833791026203e-05,0.000217213580188687,7.29137735643096e-05,3.34607859312839e-05,1.00305885211247e-05,0.000141384583367668,5.2134205583564e-05,2.92478633789041e-05,6.92036590508478e-05,0.000123401431486252,1.54193869135073e-05,9.0058546860723e-06,8.57992748565861e-06,8.05650349146722e-05,0.00013353840276207,3.21326201365773e-05,2.05356668866167e-05,2.46803268784476e-05,2.74758255101622e-05,0.000114506431771945,9.65919129692413e-06,3.37438285023892e-06,2.27428801012928e-05,2.09841003813724e-06,4.82643468106571e-06,1.75104488216469e-05
"2",7.68907836816998e-06,0.00018825235524183,3.43843765802312e-05,5.20276358448759e-05,2.35465839187124e-05,0.000287192535702975,9.90784826889513e-05,3.97599316528198e-05,1.30729228628995e-05,0.000182183128338137,6.88059624043311e-05,3.54991330447044e-05,8.26137866543861e-05,0.000168746920620835,1.87538485568304e-05,1.12993730596754e-05,1.07976054451991e-05,0.000101847770682887,0.000231732562583106,4.37890676587097e-05,2.5930258606296e-05,3.14093285831076e-05,3.60430621966772e-05,0.000144812866310148,1.94509963359315e-05,4.10746322857234e-06,2.98420512191918e-05,2.68737054480324e-06,6.54457954999703e-06,2.30816703073326e-05
"3",9.18797268607929e-06,0.000263425161034798,4.48306957179256e-05,6.30879055565632e-05,2.81598200351891e-05,0.000375864081100182,0.000132979543729226,4.70138393905109e-05,1.69018612299786e-05,0.000232685461844649,9.00616862490754e-05,4.2846376371026e-05,9.81903032726115e-05,0.000227818055327383,2.28298312650011e-05,1.42335839082591e-05,1.3584839313319e-05,0.000127810842714162,0.000388223467267785,5.89575004251882e-05,3.25254205484716e-05,3.9666034112075e-05,4.69062195152532e-05,0.000181739430821503,3.71527167484953e-05,4.96870111675758e-06,3.87796322700383e-05,3.4458986485e-06,8.79026278079371e-06,3.01306094438117e-05
"4",1.09274485917702e-05,0.000363032860950297,5.84561927382613e-05,7.60688279524209e-05,3.38075707520885e-05,0.000489913938377137,0.000176339670192626,5.55063152959107e-05,2.19125945292485e-05,0.000294739202372939,0.000116926295334643,5.1431486399119e-05,0.000116102263298263,0.000306189739775749,2.7762736598034e-05,1.78209081558267e-05,1.71050584884319e-05,0.000159246175232778,0.000628612556559684,7.84525025984705e-05,4.05326352606942e-05,4.99109488050708e-05,6.05679252717322e-05,0.000226387973530951,6.74850571536119e-05,5.99213396266685e-06,4.99224743218777e-05,4.38761262728437e-06,1.16973264911635e-05,3.89622015524254e-05
"5",1.29357038060251e-05,0.000492947227187387,7.55338266272885e-05,9.12158705857007e-05,4.03926545400197e-05,0.000635811362728324,0.000231104695697132,6.55913866889769e-05,2.81576771635687e-05,0.000373980789220283,0.00015059125201202,6.14064618031524e-05,0.000136591460951245,0.000407842068653043,3.35777267991023e-05,2.21791460294659e-05,2.13998324249226e-05,0.000197031781979375,0.00098492932108074,0.000103209401726358,5.01886344250218e-05,6.27950943809098e-05,7.76122185540627e-05,0.000281716173322816,0.000116929609849948,7.22450483797493e-06,6.36854681918644e-05,5.54824685234766e-06,1.54255806517854e-05,5.03608884259243e-05
"6",1.52424041604152e-05,0.000659812685867138,9.65900431582486e-05,0.000109557351208975,4.80136373126189e-05,0.000816686458486838,0.000299435866896621,7.71504320412384e-05,3.58731178455509e-05,0.000470350962356515,0.000192429272501564,7.33867813611694e-05,0.00016012380957708,0.000536103948293493,4.03936383577953e-05,2.74412928051102e-05,2.66039691672598e-05,0.000242134905517546,0.00149512435471798,0.000134287373596672,6.1756493169925e-05,7.84107441806867e-05,9.87121961820013e-05,0.000349277627438135,0.000193950708878566,8.65707702062916e-06,8.1209410778217e-05,6.96852351825645e-06,2.01640388504912e-05,6.46397867679131e-05
"7",1.79746812765292e-05,0.000875682788019562,0.000122270344601163,0.000131158732872502,5.67876021531329e-05,0.00103852061119352,0.00038369421587892,9.03358399792217e-05,4.53254947839096e-05,0.000586487930127989,0.000246891759308804,8.74868162994374e-05,0.000187959846155239,0.000695677061061961,4.83386472642322e-05,3.37564115083349e-05,3.28679990577185e-05,0.000297700311876818,0.00220161539879646,0.000172870052821501,7.60710764299147e-05,9.71915841486825e-05,0.000125953588055184,0.000429874086685266,0.000309215827755224,1.03120023013477e-05,0.000102774427636633,8.69449717718936e-06,2.61342901471592e-05,8.21799045353513e-05
"8",2.11854455636836e-05,0.00114961773100265,0.000153261253127558,0.000156188118327926,6.68816374637907e-05,0.0013077613024286,0.000486416571311271,0.000105307155408278,5.68138153056902e-05,0.000725220473356423,0.000314651154654395,0.000103759701317608,0.000219558823146412,0.000891501393906454,5.78716523107164e-05,4.1593764548696e-05,4.03876537264675e-05,0.000364324039867256,0.00317470781995237,0.000221825435203535,9.34695950427282e-05,0.000119611981106762,0.000159757741169208,0.000525311785145095,0.000475927603412201,1.22124224510219e-05,0.000128890304534295,1.0853834811123e-05,3.37865922650713e-05,0.000103513944061353
"9",2.48618784713569e-05,0.00148691738947417,0.000190281137369935,0.00018503432459437,7.895193745744e-05,0.00163125536858159,0.000612489677948454,0.000122934508888543,7.0671373393781e-05,0.000889550140301475,0.000397910551612087,0.000122442441157673,0.000255253570688458,0.00112863047741668,6.9177568476171e-05,5.11392935349516e-05,4.98386325743465e-05,0.000442890882180109,0.00443937524051986,0.000282025433109295,0.00011416091840763,0.000146187269910978,0.000201165023780435,0.000637525714990099,0.000710374233539665,1.43889688909634e-05,0.000160228568050583,1.35183059847136e-05,4.35740471296378e-05,0.000129215466966637
"10",2.90520872961448e-05,0.00189551371972561,0.000234069112032285,0.000218108951716478,9.27536470886312e-05,0.00201616505693158,0.000765675851996809,0.000143140691016005,8.75489106838057e-05,0.0010826306082313,0.000499392573761421,0.000143784861769889,0.000295387103367294,0.00141208149250195,8.22800391424586e-05,6.25338470084119e-05,6.11321431807941e-05,0.000534920815633271,0.00603185936237825,0.000354715682726332,0.000138618942989616,0.000177919863540655,0.0002515098795482,0.00076857624222321,0.00103267509134543,1.69602306552644e-05,0.000197504829579437,1.67295929287607e-05,5.57337187891385e-05,0.000159894320747789
