Animal_A.tifdiff_vec.txt,Animal_B.tiffdiff_vec.txt,Animal_C.tifdiff_vec.txt,Animal_D.tifdiff_vec.txt,Animal_E.tifdiff_vec.txt,Animal_F.tifdiff_vec.txt,Animal_G.tifdiff_vec.txt,Animal_H.tifdiff_vec.txt,Animal_I.tifdiff_vec.txt,Animal_J.tifdiff_vec.txt,Animal_K.tifdiff_vec.txt,Animal_L.tifdiff_vec.txt,Animal_M.tifdiff_vec.txt,Animal_N.tifdiff_vec.txt,Animal_O.tifdiff_vec.txt,Animal_P.tiffdiff_vec.txt,Animal_R.tiffdiff_vec.txt,Animal_U.tifdiff_vec.txt,Animal_V.tifdiff_vec.txt,Animal_W.tifdiff_vec.txt,Animal_X.tifdiff_vec.txt,Animal_Y.tifdiff_vec.txt,Animal_Z.tifdiff_vec.txt,Animal_Z1.tifdiff_vec.txt,Animal_Z10.tiffdiff_vec.txt,Animal_Z2.tifdiff_vec.txt,Animal_Z4.tifdiff_vec.txt,Animal_Z6.tiffdiff_vec.txt,Animal_Z8.tiffdiff_vec.txt,Animal_Z9.tiffdiff_vec.txt
122.0,93.0,118.0,148.0,147.0,37.0,89.0,150.0,150.0,98.0,80.0,141.0,135.0,89.0,105.0,138.0,65.0,166.0,47.0,112.0,109.0,133.0,112.0,118.0,43.0,165.0,111.0,136.0,85.0,145.0
166.0,130.0,249.0,240.0,263.0,80.0,188.0,341.0,466.0,354.0,106.0,246.0,215.0,103.0,176.0,276.0,183.0,358.0,110.0,277.0,271.0,194.0,289.0,138.0,52.0,241.0,308.0,304.0,97.0,165.0
308.0,227.0,340.0,460.0,435.0,172.0,226.0,448.0,,421.0,164.0,424.0,317.0,272.0,331.0,361.0,324.0,460.0,147.0,379.0,357.0,383.0,335.0,362.0,67.0,391.0,423.0,398.0,136.0,190.0
432.0,276.0,378.0,,,228.0,291.0,,,460.0,302.0,,448.0,374.0,447.0,446.0,433.0,,179.0,453.0,400.0,461.0,437.0,424.0,90.0,,450.0,443.0,178.0,214.0
,329.0,453.0,,,321.0,330.0,,,,360.0,,,452.0,,,,,254.0,478.0,450.0,,,,137.0,,,,290.0,266.0
,368.0,,,,382.0,379.0,,,,381.0,,,,,,,,258.0,,,,,,248.0,,,,361.0,344.0
,387.0,,,,455.0,453.0,,,,447.0,,,,,,,,263.0,,,,,,253.0,,,,435.0,402.0
,425.0,,,,,,,,,,,,,,,,,268.0,,,,,,256.0,,,,472.0,462.0
,468.0,,,,,,,,,,,,,,,,,272.0,,,,,,260.0,,,,,
,,,,,,,,,,,,,,,,,,280.0,,,,,,302.0,,,,,
,,,,,,,,,,,,,,,,,,284.0,,,,,,326.0,,,,,
,,,,,,,,,,,,,,,,,,289.0,,,,,,385.0,,,,,
,,,,,,,,,,,,,,,,,,338.0,,,,,,395.0,,,,,
,,,,,,,,,,,,,,,,,,374.0,,,,,,414.0,,,,,
,,,,,,,,,,,,,,,,,,393.0,,,,,,452.0,,,,,
,,,,,,,,,,,,,,,,,,417.0,,,,,,494.0,,,,,
,,,,,,,,,,,,,,,,,,453.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,487.0,,,,,,,,,,,
