"","NonOp","No MAP","L-MAP","D-MAP","R-MAP"
"1",115.193675889328,168.659789473684,157.290299051787,157.114029850746,715.698039215686
"2",155.386431784108,116.500200722601,461.094054054054,792.080773606371,488.517364657814
"3",129.179585941261,193.451206140351,79.356940509915,NA,130.110857142857
"4",117.475776397516,167.733554449972,NA,NA,223.178813221824
"5",109.512181616833,74.7605381165919,NA,NA,151.765598650928
"6",391.958530183727,321.070735090153,NA,NA,NA
"7",144.285507246377,NA,NA,NA,NA
"8",135.318956336528,NA,NA,NA,NA
"9",151.308105954989,NA,NA,NA,NA
"10",158.923714241051,NA,NA,NA,NA
"11",97.4261126137202,NA,NA,NA,NA
