"","Animal_A.tifdiff_vec2.txt","Animal_B.tiffdiff_vec2.txt","Animal_C.tifdiff_vec2.txt","Animal_D.tifdiff_vec2.txt","Animal_E.tifdiff_vec2.txt","Animal_F.tifdiff_vec2.txt","Animal_G.tifdiff_vec2.txt","Animal_H.tifdiff_vec2.txt","Animal_I.tifdiff_vec2.txt","Animal_J.tifdiff_vec2.txt","Animal_K.tifdiff_vec2.txt","Animal_L.tifdiff_vec2.txt","Animal_M.tifdiff_vec2.txt","Animal_N.tifdiff_vec2.txt","Animal_O.tifdiff_vec2.txt","Animal_P.tiffdiff_vec2.txt","Animal_R.tiffdiff_vec2.txt","Animal_U.tifdiff_vec2.txt","Animal_V.tifdiff_vec2.txt","Animal_W.tifdiff_vec2.txt","Animal_X.tifdiff_vec2.txt","Animal_Y.tifdiff_vec2.txt","Animal_Z.tifdiff_vec2.txt","Animal_Z1.tifdiff_vec2.txt","Animal_Z10.tiffdiff_vec2.txt","Animal_Z2.tifdiff_vec2.txt","Animal_Z4.tifdiff_vec2.txt","Animal_Z6.tiffdiff_vec2.txt","Animal_Z8.tiffdiff_vec2.txt","Animal_Z9.tiffdiff_vec2.txt"
"1",144.32,4.4,23.98,45.1,0.44,130.68,30.58,29.48,122.32,26.4,24.2,18.92,28.6,40.48,88.66,0.22,56.76,22.44,23.76,30.58,68.64,245.74,25.52,29.04,43.12,27.94,52.8,39.16,29.7,33.88
"2",144.32,8.8,39.6,44.88,0.44,130.68,30.58,29.48,122.1,26.62,24.2,16.72,28.38,40.7,88.66,0.44,56.76,22.22,23.76,30.58,68.42,245.96,26.18,29.26,43.12,27.94,52.8,39.16,29.92,33.66
"3",144.32,8.8,26.62,44.66,0.44,130.68,30.58,29.48,122.1,25.08,24.2,16.72,28.16,40.92,88.66,13.64,56.76,22.22,23.76,30.58,68.2,245.96,26.84,30.14,43.12,27.94,52.8,39.16,30.14,33.44
"4",144.32,8.8,27.28,44.44,30.36,130.68,30.36,29.26,122.1,25.08,24.2,16.94,27.94,41.14,88.66,13.86,56.1,22,24.42,30.58,67.98,246.18,27.5,30.14,43.12,27.94,52.8,39.16,30.36,33.22
"5",144.32,9.02,39.82,44.44,30.58,130.68,29.92,29.48,122.1,25.08,24.2,17.16,27.72,41.36,88.66,14.08,56.1,21.78,24.42,30.58,66.44,246.4,30.14,30.58,43.12,27.94,52.8,39.16,30.58,33
"6",144.32,9.02,39.82,44.22,30.8,130.68,29.48,29.48,122.1,24.64,24.2,17.16,27.72,41.58,88.66,14.3,56.1,21.78,24.42,30.58,66.44,246.18,30.36,30.8,43.12,28.16,52.8,39.16,30.8,31.68
"7",144.32,9.02,39.82,44,32.34,130.9,28.38,29.7,122.1,24.64,24.2,17.16,27.72,32.12,88.66,14.52,56.32,21.56,24.42,30.58,66.44,246.4,30.14,30.8,43.12,28.38,52.8,39.16,31.46,31.46
"8",144.32,9.24,39.82,44,32.34,131.12,28.16,30.58,121.88,24.2,24.2,17.6,27.72,41.8,88.66,14.74,56.32,23.32,24.42,30.58,65.56,246.62,30.14,36.3,43.12,29.48,52.8,37.62,32.56,31.24
"9",144.32,9.24,39.82,43.78,32.34,131.34,27.94,31.46,121.66,24.2,24.2,17.6,27.5,41.8,88.66,14.74,56.54,23.32,23.76,30.58,65.56,246.84,29.7,36.3,43.12,29.48,52.58,37.62,33.44,31.02
"10",144.32,9.24,47.52,43.78,33,131.12,27.06,32.34,121.44,23.1,24.2,17.82,27.5,41.8,88.66,14.74,56.54,23.76,23.76,30.58,65.56,247.28,29.7,36.52,43.12,29.48,52.36,37.62,33.66,30.8
