"","Animal_A.tifdiff_vec.txt","Animal_B.tiffdiff_vec.txt","Animal_C.tifdiff_vec.txt","Animal_D.tifdiff_vec.txt","Animal_E.tifdiff_vec.txt","Animal_F.tifdiff_vec.txt","Animal_G.tifdiff_vec.txt","Animal_H.tifdiff_vec.txt","Animal_I.tifdiff_vec.txt","Animal_J.tifdiff_vec.txt","Animal_K.tifdiff_vec.txt","Animal_L.tifdiff_vec.txt","Animal_M.tifdiff_vec.txt","Animal_N.tifdiff_vec.txt","Animal_O.tifdiff_vec.txt","Animal_P.tiffdiff_vec.txt","Animal_R.tiffdiff_vec.txt","Animal_U.tifdiff_vec.txt","Animal_V.tifdiff_vec.txt","Animal_W.tifdiff_vec.txt","Animal_X.tifdiff_vec.txt","Animal_Y.tifdiff_vec.txt","Animal_Z.tifdiff_vec.txt","Animal_Z1.tifdiff_vec.txt","Animal_Z10.tiffdiff_vec.txt","Animal_Z2.tifdiff_vec.txt","Animal_Z4.tifdiff_vec.txt","Animal_Z6.tiffdiff_vec.txt","Animal_Z8.tiffdiff_vec.txt","Animal_Z9.tiffdiff_vec.txt"
"1",53.9,2.2,22,3.3,10.56,50.38,4.84,5.28,3.96,6.38,7.7,22,12.1,4.4,26.84,5.72,9.9,4.62,5.06,5.5,20.9,12.1,5.06,11.66,18.26,12.32,6.16,9.9,40.7,9.24
"2",53.9,2.2,21.78,3.3,10.34,50.38,4.84,5.28,3.96,6.6,7.04,21.78,12.1,4.4,27.06,5.72,9.9,4.4,5.06,5.06,20.9,11.88,4.62,11.44,18.26,12.76,6.16,9.68,40.7,9.24
"3",53.9,2.2,21.78,3.3,10.12,50.38,4.84,5.06,3.3,6.82,6.38,22.22,12.1,4.4,27.28,5.72,9.9,4.4,5.06,4.84,21.12,12.54,4.4,11.66,18.26,12.98,6.16,9.68,40.7,9.24
"4",53.9,2.2,21.56,3.3,9.9,50.38,4.84,5.06,3.3,6.82,5.94,22,12.1,4.4,27.28,5.72,9.24,5.28,5.72,4.62,21.12,12.32,4.4,11.88,18.26,13.42,6.16,9.46,40.7,9.24
"5",53.68,2.42,21.56,3.3,9.9,50.38,4.84,4.84,3.3,6.82,5.94,22,12.1,4.4,27.28,5.72,9.24,5.5,5.72,4.62,22,12.1,4.4,11.88,18.26,13.64,6.16,9.46,40.7,9.24
"6",53.46,2.64,21.56,3.3,9.9,50.38,4.84,4.84,3.3,6.82,5.94,22,12.1,4.4,27.28,5.72,9.24,5.5,6.16,4.62,22.22,12.32,4.4,11.88,18.26,13.64,6.16,9.24,40.7,9.24
"7",51.26,2.64,21.56,3.3,9.9,50.38,5.5,4.62,3.3,7.04,6.82,21.78,12.1,4.4,27.28,5.72,9.24,6.38,6.16,4.62,22.22,11.88,4.4,11.66,18.26,13.64,6.16,9.24,40.7,9.02
"8",51.26,2.64,21.56,3.3,9.9,50.38,5.5,8.14,2.86,6.82,6.82,21.56,12.1,4.4,27.28,5.72,9.24,7.04,6.16,4.62,22.22,11.66,4.4,11.66,18.26,13.86,6.16,9.24,40.7,8.8
"9",51.26,2.64,21.56,3.3,9.9,50.38,5.5,8.8,2.86,6.82,6.82,21.34,12.1,4.4,27.28,5.72,9.24,7.26,7.04,4.62,22.22,11.66,4.4,11.66,19.8,13.86,6.16,9.02,40.7,8.58
"10",49.28,3.08,21.56,3.3,9.9,50.38,5.5,8.8,2.42,7.26,6.82,20.9,12.1,4.4,27.28,5.72,9.24,7.92,7.26,4.62,22.44,12.1,4.4,7.26,19.8,13.86,6.16,9.02,40.7,8.36
